sample_id,d13C_measurement,d13C_precision
5387,-7.97,0.06
5388,-7.91,0.06
5389,-7.92,0.06
5390,-7.96,0.06
5391,-7.97,0.06
5392,-7.78,0.06
5393,-7.88,0.06
5394,-7.71,0.06
5395,-7.64,0.06
5396,-7.65,0.06
5397,-7.34,0.06
5398,-7.42,0.06
5399,-7.19,0.06
5400,-6.82,0.06
5401,-6.75,0.06
5402,-6.84,0.06
5403,-7.1,0.06
5404,-7.03,0.06
5405,-6.74,0.06
5406,-6.73,0.06
5407,-6.25,0.06
5408,-6.27,0.06
5409,-6.39,0.06
5410,-6.03,0.06
5411,-6.11,0.06
5412,-6.03,0.06
5413,-6.16,0.06
5414,-6.23,0.06
5415,-6.08,0.06
5416,-6.14,0.06
5417,-6.1,0.06
5418,-6.19,0.06
5419,-5.96,0.06
5420,-6.14,0.06
5421,-6.06,0.06
5422,-6.13,0.06
5423,-6.22,0.06
5424,-6.1,0.06
5425,-5.77,0.06
5426,-5.95,0.06
5427,-5.87,0.06
5428,-5.85,0.06
5429,-5.73,0.06
5430,-5.58,0.06
5431,-5.42,0.06
5432,-5.49,0.06
5433,-5.48,0.06
5434,-5.46,0.06
5435,-5.42,0.06
5436,-5.38,0.06
5437,-5.3,0.06
5438,-5.33,0.06
5439,-5.21,0.06
5440,-5.27,0.06
5441,-5.28,0.06
5442,-5.42,0.06
5443,-5.1,0.06
5444,-5.08,0.06
5445,-5.06,0.06
5446,-4.94,0.06
5447,-5.0,0.06
5448,-5.08,0.06
5449,-4.97,0.06
5450,-5.05,0.06
5451,-5.09,0.06
5452,-5.04,0.06
5453,-5.09,0.06
5454,-5.05,0.06
5455,-4.95,0.06
5456,-4.98,0.06
5457,-4.96,0.06
5458,-4.83,0.06
5459,-4.94,0.06
5460,-4.93,0.06
5461,-4.93,0.06
5462,-4.82,0.06
5463,-4.89,0.06
5464,-4.98,0.06
5465,-4.86,0.06
5466,-4.79,0.06
5467,-4.96,0.06
5468,-4.75,0.06
5469,-4.75,0.06
5470,-4.86,0.06
5471,-5.01,0.06
5472,-5.04,0.06
5473,-5.87,0.06
5474,-5.73,0.06
5475,-5.65,0.06
5476,-6.27,0.06
5477,-6.36,0.06
5478,-6.61,0.06
5479,-6.65,0.06
5480,-6.79,0.06
5481,-6.89,0.06
5482,-6.75,0.06
5483,-6.87,0.06
5484,-6.97,0.06
5485,-7.15,0.06
5486,-7.16,0.06
5487,-7.05,0.06
5488,-7.24,0.06
5489,-7.1,0.06
5490,-6.66,0.06
5491,-6.9,0.06
5492,-6.61,0.06
