dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,14C_correction,calib_used,date_used,238U_content,238U_uncertainty,232Th_content,232Th_uncertainty,230Th_content,230Th_uncertainty,230Th_232Th_ratio,230Th_232Th_ratio_uncertainty,230Th_238U_activity,230Th_238U_activity_uncertainty,234U_238U_activity,234U_238U_activity_uncertainty,ini_230Th_232Th_ratio,ini_230Th_232Th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_Bchron,date_used_Bacon,date_used_OxCal,date_used_copRa,date_used_StalAge
11264,628,MC-ICP-MS U/Th,7.0,,142819-A0,unknown,176.7,176.7,131535.0,913.0,913.0,,,yes,706.0,0.3,6096.0,8.5,29.0,0.06,29.0,0.06,2.56,0.005,3.27,0.003,0.816,0.408,Cheng et al. 2013,131277.0,455.0,454.0,yes,yes,yes,,,yes,
11265,628,MC-ICP-MS U/Th,9.0,,142819-A1,unknown,183.6,183.6,141378.0,897.0,897.0,,,yes,1648.0,1.4,655.0,0.9,70.0,0.1,70.0,0.1,2.61,0.004,3.2,0.004,0.816,0.408,Cheng et al. 2013,141157.0,448.0,446.0,yes,yes,yes,,,yes,
11266,628,MC-ICP-MS U/Th,13.5,,142819-A1A,unknown,207.0,207.0,185746.0,1576.0,1576.0,,,yes,1295.0,1.3,1629.0,2.2,40.0,0.06,40.0,0.06,1.87,0.003,2.05,0.002,0.816,0.408,Cheng et al. 2013,185399.0,785.0,782.0,yes,yes,yes,,,yes,
11267,628,MC-ICP-MS U/Th,18.0,,142819-A2,unknown,187.5,187.5,197576.0,2722.0,2722.0,,,yes,1274.0,0.8,1526.0,2.5,35.0,0.09,35.0,0.09,1.66,0.004,1.8,0.002,0.816,0.408,Cheng et al. 2013,197183.0,1357.0,1353.0,yes,yes,yes,,,yes,
11268,628,MC-ICP-MS U/Th,25.0,,142819-A3,unknown,160.3,160.3,211058.0,2590.0,2590.0,,,yes,1474.0,1.4,804.0,1.5,33.0,0.06,33.0,0.06,1.37,0.003,1.48,0.002,0.816,0.408,Cheng et al. 2013,210607.0,1290.0,1285.0,yes,yes,yes,,,yes,
11269,628,MC-ICP-MS U/Th,29.5,,142819-A4,unknown,157.3,157.3,221553.0,2482.0,2482.0,,,yes,3013.0,2.1,637.0,1.0,69.0,0.13,69.0,0.13,1.41,0.003,1.5,0.001,0.816,0.408,Cheng et al. 2013,221066.0,963.0,1236.0,yes,yes,yes,,,yes,
11270,628,MC-ICP-MS U/Th,36.0,,142819-B,unknown,73.4,73.4,185884.0,3612.0,3612.0,,,no,2270.0,1.6,8018.0,2.6,52.0,0.18,52.0,0.18,1.41,0.005,1.59,0.002,0.816,0.408,Cheng et al. 2013,185480.0,1803.0,1342.0,no,no,no,,,no,
11271,628,MC-ICP-MS U/Th,40.0,,142819-C,unknown,265.4,265.4,234321.0,6527.0,6527.0,,,no,1518.0,1.2,4149.0,14.8,44.0,0.21,44.0,0.21,1.79,0.009,1.81,0.002,0.816,0.408,Cheng et al. 2013,233773.0,3238.0,3246.0,no,no,no,,,no,
11272,628,MC-ICP-MS U/Th,44.0,,142819-C0,unknown,193.7,193.7,282311.0,4290.0,4290.0,,,yes,547.0,0.3,2758.0,4.1,19.0,0.04,19.0,0.04,2.12,0.005,1.99,0.001,0.816,0.408,Cheng et al. 2013,281526.0,2131.0,2128.0,yes,yes,yes,,,yes,
11273,628,MC-ICP-MS U/Th,48.0,,142819-C1,unknown,197.8,197.8,314563.0,6291.0,6291.0,,,no,587.0,0.3,1198.0,1.4,21.0,0.04,21.0,0.04,2.19,0.004,2.0,0.002,0.816,0.408,Cheng et al. 2013,313599.0,2762.0,3136.0,no,no,no,,,no,
11274,628,MC-ICP-MS U/Th,54.0,,142819-C2,unknown,233.3,233.3,303996.0,6080.0,6080.0,,,yes,581.0,0.4,1621.0,2.7,20.0,0.03,20.0,0.03,2.12,0.004,1.96,0.002,0.816,0.408,Cheng et al. 2013,303094.0,2528.0,3031.0,yes,yes,yes,,,yes,
11275,628,MC-ICP-MS U/Th,62.0,,142819-D,unknown,271.2,271.2,304814.0,9882.0,9882.0,,,yes,1024.0,0.8,2124.0,6.9,34.0,0.14,34.0,0.14,2.01,0.009,1.87,0.001,0.816,0.408,Cheng et al. 2013,303899.0,4864.0,4906.0,yes,yes,yes,,,yes,
11276,628,Event; hiatus,9.5,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,yes,
11277,628,Event; hiatus,41.0,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,yes,
11278,629,MC-ICP-MS U/Th,43.0,,142820-A,unknown,123.3,123.3,323638.0,6473.0,6473.0,,,yes,846.0,0.3,8198.0,9.4,28.0,0.06,28.0,0.06,2.05,0.005,1.87,0.001,0.816,0.408,Cheng et al. 2013,322498.0,3221.0,3225.0,,,yes,,yes,,
11279,629,MC-ICP-MS U/Th,3.0,,142820-1,unknown,177.8,177.8,167455.0,2714.0,2714.0,,,yes,1783.0,2.5,13266.0,47.8,60.0,0.2,60.0,0.2,2.06,0.008,2.35,0.005,0.816,0.408,Cheng et al. 2013,167105.0,1352.0,1350.0,,,yes,,yes,,
11280,629,MC-ICP-MS U/Th,33.5,,142820-B,unknown,143.5,143.5,244855.0,2801.0,2801.0,,,yes,1525.0,0.7,2472.0,3.5,44.0,0.07,44.0,0.07,1.75,0.003,1.75,0.002,0.816,0.408,Cheng et al. 2013,244270.0,1036.0,1394.0,,,yes,,yes,,
11281,629,MC-ICP-MS U/Th,29.0,,142820-C,unknown,175.5,175.5,244877.0,3259.0,3259.0,,,yes,2785.0,2.9,1238.0,2.5,64.0,0.11,64.0,0.11,1.41,0.003,1.46,0.001,0.816,0.408,Cheng et al. 2013,244275.0,1621.0,1614.0,,,yes,,yes,,
11282,629,MC-ICP-MS U/Th,25.0,,142820-D,unknown,124.7,124.7,216513.0,3292.0,3292.0,,,yes,2332.0,1.1,617.0,1.0,48.0,0.1,48.0,0.1,1.26,0.003,1.37,0.002,0.816,0.408,Cheng et al. 2013,216034.0,1639.0,1634.0,,,yes,,yes,,
11283,629,MC-ICP-MS U/Th,21.0,,142820-E,unknown,131.6,131.6,214698.0,2350.0,2350.0,,,yes,1963.0,1.4,1421.0,1.4,41.0,0.07,41.0,0.07,1.27,0.002,1.38,0.001,0.816,0.408,Cheng et al. 2013,214219.0,961.0,1170.0,,,yes,,yes,,
11284,629,MC-ICP-MS U/Th,15.5,,142820-F,unknown,174.0,174.0,209255.0,2322.0,2322.0,,,yes,1241.0,0.9,219.0,0.5,27.0,0.05,27.0,0.05,1.35,0.002,1.47,0.002,0.816,0.408,Cheng et al. 2013,208815.0,921.0,1156.0,,,yes,,yes,,
11285,629,MC-ICP-MS U/Th,11.5,,142820-G,unknown,142.3,142.3,190013.0,2722.0,2722.0,,,yes,1064.0,0.9,579.0,1.3,29.0,0.08,29.0,0.08,1.69,0.005,1.86,0.002,0.816,0.408,Cheng et al. 2013,189655.0,1357.0,1353.0,,,yes,,yes,,
11286,629,Event; hiatus,14.2,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,yes,,yes,,
11287,630,MC-ICP-MS U/Th,3.0,,46330-E,unknown,253.4,253.4,176075.0,5968.0,5968.0,,,yes,1324.0,1.9,18153.0,30.2,43.0,0.34,43.0,0.34,1.99,0.016,2.22,0.005,0.816,0.408,Cheng et al. 2013,175637.0,2959.0,2971.0,yes,yes,,,,yes,yes
11288,630,MC-ICP-MS U/Th,9.0,,46330-F,unknown,275.0,275.0,191563.0,10274.0,10274.0,,,yes,6951.0,6.1,253914.0,571.9,206.0,2.34,206.0,2.34,1.81,0.021,1.97,0.003,0.816,0.408,Cheng et al. 2013,190807.0,5095.0,4857.0,yes,yes,,,,yes,yes
